EANHotelID	SequenceNumber	Name	Address1	Address2	City	StateProvince	PostalCode	Country	Latitude	Longitude	AirportCode	PropertyCategory	PropertyCurrency	StarRating	Confidence	SupplierType	Location	ChainCodeID	RegionID	HighRate	LowRate	CheckInTime	CheckOutTime
121296	733	Best Western Premier Opera Faubourg	49-51 Rue La Fayette		Paris		75009	FR	48.87524	2.3415	CDG	1	EUR	4	52	ESR	Near Galeries Lafayette	17	2734	385.9232	109.4145		
230150	734	Cambridge Beaches Resort & Spa	30 Kings Point Road Somerset	Mangrove Bay	Sandys			BM	32.30859	-64.8682	BDA	3	USD	4	52	ESR	In Sandys (Somerset Village)		11670	619	219		
114060	738	Eden Roc Miami Beach	4525 Collins Ave		Miami Beach	FL	33140	US	25.8195	-80.12282	MIA	3	USD	4	90	ESR	In Miami Beach (Mid Beach)	2090	8833	488.9566	368.9672		
198055	739	Ramla Bay Resort	Marfa L/o Mellieha		Mellieha		MLH 7100	MT	35.98721	14.34833	MLA	3	EUR	4	52	ESR	Near Popeye Village Malta		4804	605.39	115.56		
105804	742	Sheraton Dubai Creek Hotel & Towers	Baniyas Street	Po Box 4250	Dubai			AE	25.26185	55.3144	DXB	1	AED	5	71	ESR	In Dubai (Deira)	130	6053839	409.75	225.97		
105429	743	Leonardo Plaza Hotel Jerusalem	47 King George Street Box 7686		Jerusalem		91076	IL	31.7765	35.21754	TLV	1	ILS	5	52	ESR	Near Jerusalem Great Synagogue	2864	1727	509.999	508.999		
105641	744	B Ocean Resort	1140 Seabreeze Blvd		Fort Lauderdale	FL	33316	US	26.10876	-80.10676	FLL	3	USD	4	95	ESR	Near Port Everglades		1219	439	359		
425197	745	JA Ocean View Hotel	The Walk Jbr		Dubai		26500	AE	25.07364	55.13022	DXB	1	AED	4	52	ESR	Near The Beach Mall	3103	6053839	724.84	392.12		
248312	746	Sunrise on the Bund	No 168 Gaoyang Road		Shanghai		200080	CN	31.25311	121.49805	SHA	1	CNY	4.5	52	ESR	In Shanghai (Hong Kou - The North Bund)		3145	447.76	190.06		
364503	747	"Radisson Royal Hotel, Dubai"	Plot 49 Sheikh Zayed Road	Trade Centre District	Dubai		9940	AE	25.22333	55.2827	DXB	1	AED	5	52	ESR	Near Dubai International Convention and Exhibition Centre	115	6053839	1086.3174	559.4887		
195400	750	Nordic C Hotel	Vasaplan 4		Stockholm		113 31	SE	59.33222	18.05637	ARN	1	SEK	4	3	ESR	Near Hotorgshallen Food Market	3023	3286	287.8391	140.5216		
231415	751	Apex City Of London Hotel	1 Seething Lane		London		EC3N 4AX	GB	51.51053	-0.07927	LHR	1	GBP	4	46	ESR	Near Tower of London	2919	2114	730.1735	155.1066		
168934	752	Hotel Neptun	Sankt Annæ Plads 18-20		Copenhagen		1250	DK	55.68131	12.59207	CPH	1	DKK	4	85	ESR	Near Nyhavn		906	401.3569	339.7369		
